fname,label
805847067.180908045957_203207_203241_MO.png,3
805847067.170916144831_505009_505024_WH.png,5
805847067.170930110226_101118_101340_RU.png,4
805847067.180416130000_162016_162277_GL.png,2
805847067.180804100000_173354_173406_CR.png,0
805847067.170917094909_064667_064714_MO.png,3
805847067.180117130000_281927_282188_GN.png,1
805847067.170930110226_091261_091433_RU.png,4
805847067.170930110226_102032_102248_RU.png,4
805847067.171118140001_161095_161127_CR.png,0
805847067.180714160003_244527_244598_MO.png,3
805847067.171230170000_094607_094813_GN.png,1
805847067.170923145408_064500_064518_WH.png,5
805847067.170916084819_434118_434393_RU.png,4
805847067.170923085356_430705_431084_RU.png,4
805847067.180811220004_005624_005651_WH.png,5
805847067.170916084819_440112_440449_RU.png,4
805847067.180117040000_205023_205052_MO.png,3
805847067.171202180004_110832_111045_GN.png,1
805847067.170916084819_434059_434090_MO.png,3
805847067.170923155410_234318_233441_CR.png,0
805847067.170916114825_204214_204811_RU.png,4
805847067.170923155410_233353_233382_CR.png,0
805847067.170917144919_014225_014257_CR.png,0
805847067.170916164835_381540_381556_WH.png,5
805847067.170916084819_432450_432520_MO.png,3
805847067.180206170002_095877_095902_WH.png,5
805847067.170917094909_043430_043588_MO.png,3
805847067.170916084819_431309_431340_MO.png,3
805847067.180106120000_050553_050860_GN.png,1
805847067.170916134829_345352_345492_GL.png,2
805847067.170923105400_193729_193988_MO.png,3
805847067.170923085356_415532_415757_RU.png,4
805847067.170916114825_024176_024394_RU.png,4
805847067.180117040000_210794_211641_GL.png,2
805847067.170916084819_440056_440076_MO.png,3
805847067.170916214845_461271_461310_CR.png,0
805847067.171205120004_140347_140369_CR.png,0
805847067.170917094909_055554_055601_MO.png,3
805847067.170916084819_442897_442934_MO.png,3
805847067.180728220000_192464_192493_WH.png,5
805847067.180825045959_071164_071430_RU.png,4
805847067.170930200244_132121_132143_WH.png,5
805847067.180317200003_100154_100233_MO.png,3
805847067.180416050000_143176_143620_GL.png,2
805847067.180117040000_211735_211755_WH.png,5
805847067.171021085958_253981_254207_RU.png,4
805847067.171028005958_061036_061062_CR.png,0
805847067.170916164835_383745_383760_WH.png,5
805847067.180428200002_084556_084576_WH.png,5
805847067.180825205959_245053_245081_CR.png,0
805847067.180825035959_145860_145894_CR.png,0
805847067.170916164835_381556_381571_WH.png,5
805847067.180428200002_090127_090147_WH.png,5
