fname,label
805847067.180721040003_061875_061903_WH.png,5
805847067.180908115957_090014_090052_CR.png,0
805847067.180721050003_010709_010733_WH.png,5
805847067.180310145958_024123_024151_WH.png,5
805847067.180728210000_062367_062390_WH.png,5
805847067.170923075354_600200_600216_CR.png,0
805847067.180117170000_255609_255720_GN.png,1
805847067.180728010000_135189_135232_WH.png,5
805847067.171205120004_135516_135536_WH.png,5
805847067.180908065957_030161_030184_CR.png,0
805847067.171104055958_045190_045214_CR.png,0
805847067.180206170002_100782_101172_GN.png,1
805847067.171007060754_034164_034331_GL.png,2
805847067.180922180001_194385_194516_GN.png,1
805847067.180908115957_085327_085523_GL.png,2
805847067.170917074905_353503_353524_WH.png,5
805847067.171230160000_010665_010689_WH.png,5
805847067.170917084907_143530_143616_MO.png,3
805847067.180825155959_163791_163912_GN.png,1
805847067.180417200000_181369_181599_GN.png,1
805847067.180908175957_041586_041667_MO.png,3
805847067.180728210000_061228_061260_CR.png,0
805847067.171111060001_262411_262495_MO.png,3
805847067.180804010000_054323_054466_GL.png,2
805847067.170916154833_380649_381111_RU.png,4
805847067.180407120000_211894_211923_WH.png,5
805847067.171111060001_263248_263278_WH.png,5
805847067.180922180001_192957_193001_CR.png,0
805847067.180922050001_132747_132777_CR.png,0
805847067.180505060002_213698_213718_WH.png,5
805847067.171007170816_173640_173722_MO.png,3
805847067.171005190643_295367_295701_GL.png,2
805847067.180106160000_221948_222065_MO.png,3
805847067.171126160004_185747_185795_CR.png,0
805847067.170917084907_144672_145009_MO.png,3
805847067.180721050003_002615_003110_RU.png,4
805847067.170916114825_443541_443568_WH.png,5
805847067.180310125958_134461_134662_GN.png,1
805847067.180922180001_192159_192206_CR.png,0
805847067.171003170503_041126_041452_GL.png,2
805847067.180428200002_045388_045532_GL.png,2
805847067.180721040003_062040_062058_WH.png,5
805847067.171005150635_144136_144419_GL.png,2
805847067.170917084907_160953_161156_RU.png,4
805847067.180206170002_094747_094788_CR.png,0
805847067.180428200002_045249_045282_MO.png,3
805847067.171111060001_262079_262275_MO.png,3
805847067.180428200002_050224_050518_GL.png,2
805847067.180908065957_025399_025452_CR.png,0
805847067.180728210000_062157_062355_GL.png,2
805847067.171104105958_210634_210650_WH.png,5
805847067.180825025959_171053_171084_CR.png,0
805847067.180728000000_041431_041446_WH.png,5
805847067.180428200002_050093_050128_CR.png,0
805847067.180728070000_251726_251966_GL.png,2
805847067.180922050001_134013_134367_GL.png,2
805847067.180728210000_061895_061991_CR.png,0
805847067.170916094821_103930_104423_RU.png,4
805847067.180721050003_004648_004761_MO.png,3
805847067.180804010000_053992_054050_CR.png,0
805847067.170917084907_150500_150805_MO.png,3
805847067.171003170503_042014_042246_GL.png,2
805847067.170916114825_023285_023578_GL.png,2
805847067.170916154833_382055_382226_GL.png,2
805847067.180206060002_010777_011024_GN.png,1
805847067.180825065959_234811_234832_WH.png,5
805847067.180908175957_041834_041926_MO.png,3
805847067.180728000000_041032_041157_GL.png,2
805847067.180908055957_060318_060635_GL.png,2
805847067.180505060002_213760_213776_WH.png,5
805847067.171111060001_264329_264442_MO.png,3
805847067.180908065957_024985_025006_WH.png,5
805847067.170923085356_443912_444052_RU.png,4
805847067.170930200244_133169_133236_MO.png,3
805847067.171126140004_064989_065072_MO.png,3
805847067.170917084907_230288_230626_RU.png,4
805847067.171111060001_264446_264539_GL.png,2
805847067.180728080000_194877_194897_WH.png,5
805847067.171111060001_262505_263093_GL.png,2
805847067.180804050000_162923_162956_CR.png,0
805847067.171002040349_280446_280556_GL.png,2
805847067.180728070000_091685_092290_RU.png,4
805847067.171104035958_003669_003851_GL.png,2
805847067.180127095959_174070_184168_GN.png,1
805847067.180825205959_130399_130708_GL.png,2
805847067.180728220000_004335_004625_GL.png,2
805847067.180922050001_134900_134992_MO.png,3
805847067.180908115957_085807_085834_WH.png,5
805847067.171014105958_202100_202184_MO.png,3
805847067.170917084907_232039_232212_RU.png,4
805847067.170923095358_533322_533687_RU.png,4
805847067.170930200244_131595_131660_MO.png,3
805847067.171007060754_034033_034068_CR.png,0
805847067.180407120000_162912_163059_GN.png,1
805847067.180117170000_260374_260499_GL.png,2
805847067.171021025958_275658_275686_CR.png,0
805847067.180922050001_134526_134656_MO.png,3
805847067.180908055957_061128_061277_MO.png,3
805847067.180728000000_041222_041255_CR.png,0
805847067.171126140004_064245_064442_GL.png,2
805847067.180310145958_024660_024679_WH.png,5
805847067.180728070000_085833_085869_CR.png,0
805847067.180117130000_283771_283811_CR.png,0
805847067.170917084907_243102_243444_RU.png,4
805847067.170917074905_353526_353546_WH.png,5
805847067.180804010000_053042_053376_GL.png,2
805847067.180410160000_015405_015483_GN.png,1
805847067.170930200244_132896_132944_CR.png,0
805847067.180728030000_253654_254193_RU.png,4
805847067.170917084907_143623_144159_MO.png,3
805847067.180728220000_005472_005655_GL.png,2
805847067.171014105958_255018_255097_MO.png,3
805847067.180117040000_134548_134773_GL.png,2
805847067.171007060754_034652_034675_WH.png,5
805847067.170917084907_230643_230720_GN.png,1
805847067.180728000000_041687_041715_WH.png,5
805847067.180825205959_245585_245637_CR.png,0
805847067.180728060000_264606_264654_CR.png,0
805847067.170923095358_540941_540998_MO.png,3
805847067.180728070000_253538_253583_CR.png,0
805847067.170917084907_230725_230982_RU.png,4
805847067.180908175957_040691_040824_MO.png,3
805847067.171014055958_094097_094234_MO.png,3
805847067.170923105400_021999_022139_RU.png,4
805847067.170916164835_113944_114193_RU.png,4
805847067.180505060002_213721_213739_WH.png,5
805847067.171104105958_210497_210515_WH.png,5
805847067.170917154921_530324_530875_RU.png,4
805847067.180721050003_005697_010350_RU.png,4
